MSA,29-0000,33-0000,13-0000,47-0000,35-0000,39-0000,25-0000,17-0000,21-0000,45-0000,51-0000,43-0000,37-0000,31-0000,19-0000,15-0000,49-0000,27-0000,11-0000,23-0000,41-0000,53-0000
11540,88067.99999999999,7650.0,49728.0,61913.0,67730.0,43428.0,48640.0,6858.0,24255.0,-944.0,-51088.0,33940.0,19034.0,60490.0,3626.0,35108.0,32832.0,5493.999999999999,30635.0,2091.0,74850.0,42336.0
33220,41164.0,1980.0,15120.0,18988.0,18005.0,16500.0,17100.0,1782.0000000000002,4095.0,,-9827.0,11080.0,9610.0,24610.0,0.0,7467.0,7360.0,1639.9999999999998,9845.0,509.99999999999994,16800.0,6432.0
2600004,214183.99999999997,27270.0,64428.0,97768.0,162760.0,123948.0,170240.0,14607.000000000002,41370.0,-4248.0,-126945.0,80480.0,53382.0,172040.0,9546.0,29999.0,84992.0,10086.0,62645.0,2754.0,131450.0,97632.0
0500001,142680.0,8640.0,20916.0,43632.0,72475.0,41184.0,63080.0,1728.0,15015.0,-2655.0,-44826.0,33320.0,22010.0,99130.0,2738.0,8384.0,34432.0,2583.0,29975.0,1937.9999999999998,58800.0,49584.0
33700,175151.99999999997,11745.0,36456.0,67367.0,106535.0,64680.0,103284.0,3186.0,37275.0,-37524.0,-38967.0,53080.0,29078.0,117760.0,7474.0,20567.0,42816.0,5411.999999999999,40095.0,3620.9999999999995,93850.0,76032.0
0800002,84623.99999999999,19170.0,27552.0,70902.0,69355.0,54252.0,45296.0,2430.0,19740.0,-1534.0,-11284.0,28420.0,24366.0,54970.0,8510.0,9432.0,30464.0,5616.999999999999,17655.0,2703.0,58800.0,21120.0
0600003,90035.99999999999,15660.0,21924.0,31411.0,69420.0,40656.0,69768.0,2160.0,26040.0,-11800.0,-12617.0,29180.0,25234.0,53360.0,10730.0,9563.0,28800.0,2378.0,27280.0,2499.0,56100.0,25584.0
4200002,161540.0,18900.0,31248.0,96152.0,88920.0,76560.0,72048.0,6399.0,33390.0,-2891.0,-59024.0,47000.0,32302.0,112010.0,6734.0,13231.0,56000.0,3238.9999999999995,27335.0,1886.9999999999998,75850.0,69552.0
11100,123163.99999999999,17460.0,34272.0,49894.0,77870.0,44220.0,58900.0,4509.0,15855.0,-2655.0,-25327.0,36140.0,23746.0,69460.0,4366.0,20043.0,38144.0,5370.999999999999,19305.0,3060.0,69750.0,37248.0
31340,106271.99999999999,7830.0,31584.0,40804.0,59540.0,48312.0,45144.0,6021.0,21945.0,-1711.0,-30008.0,29520.0,18104.0,77280.0,3848.0,25807.0,28928.0,3607.9999999999995,18480.0,1937.9999999999998,54050.0,29520.0
